Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,20.280001,20.280001,20.280001,20.280001,19.155264,0
2022-01-25,19.389999,19.389999,19.389999,19.389999,18.314621,0
2022-01-26,19.760000,19.760000,19.760000,19.760000,18.664103,0
2022-01-27,18.809999,18.809999,18.809999,18.809999,17.766790,0
2022-01-28,19.260000,19.260000,19.260000,19.260000,18.191833,0
2022-01-31,20.490000,20.490000,20.490000,20.490000,19.353617,0
2022-02-01,20.629999,20.629999,20.629999,20.629999,19.485853,0
2022-02-02,21.059999,21.059999,21.059999,21.059999,19.892002,0
2022-02-03,20.030001,20.030001,20.030001,20.030001,18.919130,0
2022-02-04,20.260000,20.260000,20.260000,20.260000,19.136374,0
2022-02-07,20.420000,20.420000,20.420000,20.420000,19.287500,0
2022-02-08,20.969999,20.969999,20.969999,20.969999,19.806995,0
2022-02-09,21.740000,21.740000,21.740000,21.740000,20.534292,0
2022-02-10,20.990000,20.990000,20.990000,20.990000,19.825886,0
2022-02-11,19.770000,19.770000,19.770000,19.770000,18.673548,0
2022-02-14,19.820000,19.820000,19.820000,19.820000,18.720776,0
2022-02-15,21.070000,21.070000,21.070000,21.070000,19.901449,0
2022-02-16,21.049999,21.049999,21.049999,21.049999,19.882559,0
2022-02-17,19.980000,19.980000,19.980000,19.980000,18.871902,0
2022-02-18,19.780001,19.780001,19.780001,19.780001,18.682995,0
2022-02-22,19.610001,19.610001,19.610001,19.610001,18.522423,0
2022-02-23,19.110001,19.110001,19.110001,19.110001,18.050154,0
2022-02-24,19.959999,19.959999,19.959999,19.959999,18.853010,0
2022-02-25,20.299999,20.299999,20.299999,20.299999,19.174152,0
2022-02-28,20.230000,20.230000,20.230000,20.230000,19.108036,0
2022-03-01,19.490000,19.490000,19.490000,19.490000,18.409079,0
2022-03-02,20.120001,20.120001,20.120001,20.120001,19.004137,0
2022-03-03,19.750000,19.750000,19.750000,19.750000,18.654657,0
2022-03-04,19.200001,19.200001,19.200001,19.200001,18.135162,0
2022-03-07,18.170000,18.170000,18.170000,18.170000,17.162285,0
2022-03-08,18.570000,18.570000,18.570000,18.570000,17.540102,0
2022-03-09,19.420000,19.420000,19.420000,19.420000,18.342958,0
2022-03-10,19.110001,19.110001,19.110001,19.110001,18.050154,0
2022-03-11,18.690001,18.690001,18.690001,18.690001,17.653446,0
2022-03-14,18.139999,18.139999,18.139999,18.139999,17.133949,0
2022-03-15,19.190001,19.190001,19.190001,19.190001,18.125717,0
2022-03-16,20.240000,20.240000,20.240000,20.240000,19.117481,0
2022-03-17,20.430000,20.430000,20.430000,20.430000,19.296946,0
2022-03-18,21.129999,21.129999,21.129999,21.129999,19.958122,0
2022-03-21,21.059999,21.059999,21.059999,21.059999,19.892002,0
2022-03-22,21.090000,21.090000,21.090000,21.090000,19.920341,0
2022-03-23,20.480000,20.480000,20.480000,20.480000,19.344173,0
2022-03-24,21.730000,21.730000,21.730000,21.730000,20.524845,0
2022-03-25,21.660000,21.660000,21.660000,21.660000,20.458729,0
2022-03-28,21.750000,21.750000,21.750000,21.750000,20.543737,0
2022-03-29,22.209999,22.209999,22.209999,22.209999,20.978224,0
2022-03-30,21.400000,21.400000,21.400000,21.400000,20.213148,0
2022-03-31,20.969999,20.969999,20.969999,20.969999,19.806995,0
2022-04-01,20.610001,20.610001,20.610001,20.610001,19.466961,0
2022-04-04,20.930000,20.930000,20.930000,20.930000,19.769217,0
2022-04-05,19.900000,19.900000,19.900000,19.900000,18.796339,0
2022-04-06,19.290001,19.290001,19.290001,19.290001,18.220171,0
2022-04-07,19.240000,19.240000,19.240000,19.240000,18.172941,0
2022-04-08,17.950001,17.950001,17.950001,17.950001,17.590830,0
2022-04-11,17.450001,17.450001,17.450001,17.450001,17.100836,0
2022-04-12,17.350000,17.350000,17.350000,17.350000,17.002836,0
2022-04-13,17.820000,17.820000,17.820000,17.820000,17.463430,0
2022-04-14,17.280001,17.280001,17.280001,17.280001,16.934237,0
2022-04-18,17.620001,17.620001,17.620001,17.620001,17.267433,0
2022-04-19,18.030001,18.030001,18.030001,18.030001,17.669228,0
2022-04-20,17.840000,17.840000,17.840000,17.840000,17.483030,0
2022-04-21,17.230000,17.230000,17.230000,17.230000,16.885235,0
2022-04-22,16.820000,16.820000,16.820000,16.820000,16.483438,0
2022-04-25,17.190001,17.190001,17.190001,17.190001,16.846037,0
2022-04-26,16.450001,16.450001,16.450001,16.450001,16.120844,0
2022-04-27,16.350000,16.350000,16.350000,16.350000,16.022844,0
2022-04-28,17.309999,17.309999,17.309999,17.309999,16.963634,0
2022-04-29,16.530001,16.530001,16.530001,16.530001,16.199242,0
2022-05-02,17.160000,17.160000,17.160000,17.160000,16.816637,0
2022-05-03,17.290001,17.290001,17.290001,17.290001,16.944036,0
2022-05-04,18.010000,18.010000,18.010000,18.010000,17.649628,0
2022-05-05,17.030001,17.030001,17.030001,17.030001,16.689240,0
2022-05-06,16.900000,16.900000,16.900000,16.900000,16.561838,0
2022-05-09,15.860000,15.860000,15.860000,15.860000,15.542648,0
2022-05-10,16.330000,16.330000,16.330000,16.330000,16.003244,0
2022-05-11,15.670000,15.670000,15.670000,15.670000,15.356451,0
2022-05-12,15.700000,15.700000,15.700000,15.700000,15.385850,0
2022-05-13,16.690001,16.690001,16.690001,16.690001,16.356041,0
2022-05-16,16.360001,16.360001,16.360001,16.360001,16.032644,0
2022-05-17,17.190001,17.190001,17.190001,17.190001,16.846037,0
2022-05-18,16.290001,16.290001,16.290001,16.290001,15.964046,0
2022-05-19,16.309999,16.309999,16.309999,16.309999,15.983644,0
2022-05-20,16.270000,16.270000,16.270000,16.270000,15.944446,0
2022-05-23,16.350000,16.350000,16.350000,16.350000,16.022844,0
2022-05-24,15.920000,15.920000,15.920000,15.920000,15.601448,0
2022-05-25,16.370001,16.370001,16.370001,16.370001,16.042444,0
2022-05-26,17.049999,17.049999,17.049999,17.049999,16.708836,0
2022-05-27,17.740000,17.740000,17.740000,17.740000,17.385029,0
2022-05-31,17.559999,17.559999,17.559999,17.559999,17.208632,0
